,Whole Document,,,,,,,,Evidence Page(s),,,,,,,,Evidence Region(s),,,,,,,
Models,SPSR,Acc,SPMR,Acc,MPMR,Acc,Total,Acc,SPSR,Acc,SPMR,Acc,MPMR,Acc,Total,Acc,SPSR,Acc,SPMR,Acc,MPMR,Acc,Total,Acc
Qwen3-VL-8B,85,11.35%,44,7.91%,22,6.92%,151,9.30%,464,61.95%,357,64.21%,161,50.63%,982,60.51%,507,67.69%,381,68.53%,181,56.92%,1069,65.87%
Qwen3-VL-32B,132,17.62%,93,16.73%,37,11.64%,262,16.14%,542,72.36%,433,77.88%,212,66.67%,1187,73.14%,567,75.70%,443,79.68%,216,67.92%,1226,75.54%
Qwen3-VL-235B-A22B,325,43.39%,223,40.11%,106,33.33%,654,40.30%,524,69.96%,417,75.00%,203,63.84%,1144,70.49%,568,75.83%,430,77.34%,226,71.07%,1224,75.42%
Qwen3.5-27B,358,47.80%,235,42.27%,104,32.70%,697,42.95%,524,69.96%,388,69.78%,219,68.87%,1131,69.69%,579,77.30%,439,78.96%,232,72.96%,1250,77.02%
Qwen35-122B-A10B,318,42.46%,213,38.31%,79,24.84%,610,37.58%,530,70.76%,384,69.06%,205,64.47%,1119,68.95%,562,75.03%,404,72.66%,219,68.87%,1185,73.01%
Qwen3.5-397B-A17B,291,38.85%,204,36.69%,93,29.25%,588,36.23%,516,68.89%,375,67.45%,214,67.30%,1105,68.08%,560,74.77%,414,74.46%,223,70.13%,1197,73.75%
InternVL3-38B,92,12.28%,60,10.79%,14,4.40%,166,10.23%,387,51.67%,270,48.56%,125,39.31%,782,48.18%,507,67.69%,371,66.73%,163,51.26%,1041,64.14%
Erine-5,327,43.66%,217,39.03%,81,25.47%,625,38.51%,578,77.17%,433,77.88%,245,77.04%,1256,77.39%,631,84.25%,442,79.50%,256,80.50%,1329,81.89%
Kimi-K2.5,534,71.30%,376,67.63%,194,61.01%,1104,68.02%,620,82.78%,442,79.50%,236,74.21%,1298,79.98%,634,84.65%,441,79.32%,243,76.42%,1318,81.21%
Claude Sonnent 4.6,365,48.73%,248,44.60%,101,31.76%,714,43.99%,553,73.83%,366,65.83%,192,60.38%,1111,68.45%,585,78.10%,401,72.12%,220,69.18%,1206,74.31%
GPT-5.2,510,68.09%,365,65.65%,187,58.81%,1062,65.43%,613,81.84%,456,82.01%,252,79.25%,1321,81.39%,639,85.31%,485,87.23%,258,81.13%,1382,85.15%
